comment,toxic
верблюд дебил бл,1.0
хохл эт отдушин затюкан россиянин мол вон хохл хуж хохл кисел придума,1.0
собак собач смерт,1.0
страниц обнов деб эт оскорблен доказа факт деб множествен числ писа вер эт тво вообража друз,1.0
убед страничн пдф скрипал отрав росс анализирова дума пыта ватник,1.0
как стан явля эталон современ систем здравоохранен рф зимбабв туп хохл,1.0
шапк ссылк инф текущ фильм марвел ссылк замен фраз репорт брипидор игнориру пост недостаточн поня модератор абсолютн неадекват нужн лиш полномоч эт борд пробива абсолютн дно неадекватн,0.0
упад т стро технолог развор трещин пош л туп китаз могут нормальн сдела,1.0
еба разнос шизик,1.0
обосра сид обтека,1.0
пишеш хуйн дегенерат поцел губ поцел засос,1.0
бактер теб поня ист е рик поподробн сахар н веща бред написа все логичн фраз обращ теб тво проблем уч изъясня определен заказа книг втор миров войн planeta ru о извин швал прост черн эт услов действительн заказа маняграф,1.0
почита пост автор найдет полезн над помог pikabu ru story obyichnyie budni dezsluzhbyi,0.0
урод сем поколен род,1.0
мож ещ модер безмозгл позва,1.0
хорош врат террорист торчек шизофреник пруф костюм чутк учен миллиардер филантроп,1.0
всем кстат наплева главн уровен жизн вдвойн наплева кукарекан тупорыл хохл форум помойк,1.0
график обидн проход сер гта втор част пят кром гта меша график одн част комп куч видеокарт начин мб riva tnt заканчив гб ti котор спокойн игра котор год танк гта ведьмак куп распродаж нача проход ультр понижен текстур меша понима дрочев график требова график уровн плойк минимум глаз реза повод управлен хвата переходник type c джойстик иксбокс потенциа мобильн игр достаточн заб кнопк забива то nfs mw сам плох игр,0.0
вообщ мим шел поплач тво головушк подзалупн истеричк дальш пойд туп обманут ваньк те воевак глуп невоспита бедн прошл будущ наеба ресентимент ушл чекист так жирн приживал гейгорк гоблач все эт снима личн ответствен жизн поступк очен жал рук теб под отгрызеш,1.0
мэдисон стример эт троллинг мат детств роня теб нрав прикидыва туп прост туп,1.0
посмотрел комментар тво пост процент говнокоммент ниж средн отметк,1.0
эт утвержда чмох спал,1.0
обе стран парт войн обе стран эт войн разжига поддержива смотр парн русняв пиздеж пидара треб хорош отношен ман эт украин хуяр роис град украин засыла роис террорист бандит ихтамнет харк теб ебл спидозн твар,1.0
прич чувств юмор придума опроверг писа счита весел нац,1.0
агресс ткнул тво дерьм обтека эт отрицательн эмоц прост факт,1.0
имееш прот кремл холоп заморск барин,1.0
ох ва сторон нож реза подскажеш деб хваста рязанск ебл ещ гугл незнаком словечк вся сут ник нужн селюк ник нужн тред,1.0
эт смешн урод могут поржа объясн урод приспособ эт жит пок потребля удобн том прода хавк цацк скор верн ваш утвержден мир ебанут узк смотрет,1.0
pp userapi com c v b cohwqfbgjwe jpg,0.0
пыта украинск прекрасн чита отличн чита будуч русск либерал уч специальн украинск вон лог чев бол шенк ватник прич поеха справк позволя езд пригородн поезд понима украинск белоррусск польск сво пруф ищ инфожд новоросс эт эксперементальн полигон пын провод эксперемент определен уровн терпильн россия допуст снача новоросс ввод новшевств россиян терп так вещ введут рф новоросс новохуесосс эт давн ясн полигон якоб независим белар,1.0
ещ русн дегенерат пиздец прост,1.0
теб сказа неч понима нет сво пониман вопрос животн хуж отвеча так высер типичн представител травл тред,1.0
дива политолог слил обычн,1.0
как пор неадекват эт оскорблен пикаб тысяч так комментар модератор будуч призва удаля дурак называ эт вопрос дурак так вопрос пикаб тысяч вплот ебанут долбоеб счита оскорблен удаля счита оскорблен тысяч оскорблен счита прав одн случа работа друг эт угодн прав,1.0
год эт либ теб уш ссыт завидова либ зна рабств как бодишоп эт средн американец эт лох туд наш бод шоп перевоз люд год эт учет виз котор запреща смен работодател т е услов средн лучш равн никуд денеш зашел glassdoor медиа зарплат почита позор сво выдума знаком страховк цифр смог прочита короч методичк хорош те тем сраз вид пиздабол,1.0
возьм пример росс западноевропейск стран сша идет метисац сознательн политик замещен бел населен пришл черн коричнев идет создан нов рас метис исламизац почернен крупн город половин населен выходц ебен мексик африк ближн восток случа росс кавказ средн аз этническ ниггер арабск гетт вер ху закон хот чудовищн масштаб этническ преступн говор миграц затрагива тем замещен корен населен власт инач бутылк свобод слов молод человек говор бел должн вымерет эт нормальн бел официальн вымира ведет пропаганд инач направлен снижен рождаем бел населен феминизм лгбт чайлдфр кажд женщин швец леволиберальн феминистк эт стран побед феминизм сегодн происход страшн дела пропагандир смеша брак межрасов брак пропагандир превосходств дет метис идет демонизац бел пропаганд превосходств черн смугл мужчин форс отношен бел женщин смугл черн мужчин мигрант результат все чернильниц все смеша брак все небел метис бел женщин прост хот контактирова мужчин сво нац рас надел сам плох качеств обожествл черн большинств бел счита завоз чурок плох наоборот относ толерантн провод политик насажден толерантн мультикультурализм политкорректн космополитизм набира популярн росс sjw эт вообщ отдельн тем обсужден все вышеперечислен относ сильн стран бывш импер нагиба слаб сегодн происход бывш импер прям смысл деградир вырожда вымира мест сильн господств народ занима те ког колонизирова франц будут доминирова негр араб росс кавказц выходц средн аз великобритан индийц негр араб пакистанц etc маленьк нейтральн стран врод словен беларус литв чех румын эстон все пучк вымиран гроз оста будут остава бел ведет политик направлен сохранен традицион ценност культур корен населен сказа беженц польш например русск украинц горазд легч перееха оста араб африканц герман ситуац противоположн бел ждут польш чех словак венгр словен хорват серб биг черногор македон грец болгар румын молдов украин белар литв латв эстон европ будущ скандинав южн западн европ такж росс лишат корен населен сво культур,0.0
стар маразматик писа кириллиц латинниц видн спор задвига русск язык видн дальш скажут казахск внезапн пол стран окажет втор сорт над ошиба эт проход друг стран аз прибалтик закавказ мир всем мир русск слон лучш друг казахск слон,0.0
шизофаз речев разорван симпт психическ расстройств выража нарушен структур реч котор отлич речев бессвязн поток несвяза слов фраз стро правильн однак несут никак смыслов нагрузк содержан реч соответств содержан бред эт расстройств реч отража разорван мышлен пациент эт расстройств характерн прежд шизофрен понят шизофаз введ э крепелин год некотор врем счита особ форм шизофрен некотор автор выделя отдельн форм шизофрен так назван шизофаз характерн повышен речев активн речев напор такж симпт монолог характериз речев неистощим отсутств потребн собеседник прав симпт сочета внешн упорядочен доступн общен относительн интеллектуальн аффективн сохран больн отличительн черт шизофаз счита преимуществен продукц морфемн словообразован глоссоманиакальн высказыван помим параноидн форм шизофрен возника тяжел слабоум,0.0
совк сам лучш образован мнен любител заряжа вод телевизор совк сам красив девушк мнен новиоп совк сам лучш товар мнен любител подтира жоп газет туалетн бумаг совк сам лучш медецин мнен сам абортируем народ совк сам лучш техник мнен любител плагиат совк сам высок уровен жизн мнен любител дефицит,1.0
самоподдув манямирк какл ве мир алл завид жител нищ полубандитск папуас окраин росс,1.0
пен штат невад большинcтв подпоcтк невад пазпеш вод машин по законоппоект котоп паccмотп законодательн опган штат невад законоппоект аccамбл наппавл на паcшипен cущеcтв гоcудапcтвен закон позвол cельcк жител возпаcт от лет cамоcтоятельн езд школ небольш гопод окпуг ход школьн автобуc эт меп поддепжа депутат аccамбл алекcиc ханcен ппедоcтав ппивилег учащимc незавиcим от тог находитc школ эт означа что летн дет могут вcкоп езд школ котоп ппедоcтавля автобуc ученик даж так кпупн окпуг как уош клапк водител штат невад могут получ ппав учащегоc возпаcт лет ппи уcлов что он везут c cоб паccажип котоп иcполнилc год нег оп вожден мен год невад один немног штат кто пазпеша водител получа пазпешен учащихc возпаcт до лет южн дакот выда учащимc возпаcт лет огпаничен ппав возпаcт лет,0.0
